_id,name,state,type
5eeb3ea354f126345d040e93,VARANASI,UTTAR PRADESH,FROM
5eeb68ba6179153841178a1e,KUNDLI,HARYANA,FROM
5eec8de17aa8f153fc6adcf2,MUZAFFARNAGAR,UTTAR PRADESH,TO
5eec8e0d7aa8f153fc6afaec,SOLAN,HIMACHAL PRADESH,TO
5eedc7259275285f1b0e6dd0,FARIDKOT,PUNJAB,TO
5eedc76b9275285f1b0e6dd1,BARNALA,PUNJAB,TO
5ef31ae63fe1dc788d8ba083,GURUGRAM,HARYANA,TO
5ef31b003fe1dc788d8ba084,REWARI,HARYANA,TO
5ef31b133fe1dc788d8ba085,UNA,HIMACHAL PRADESH,TO
5ef31d553fe1dc788d8c5f0e,JAUNPUR,UTTAR PRADESH,TO
5ef3307c3fe1dc788d90ff0a,SANGRUR,PUNJAB,TO
5ef6db456be56a2c96d44d69,LUDHIANA,PUNJAB,FROM
5efdc8a833f3df2592054421,KHANDWA,MADHYA PRADESH,TO
5f003cee33f3df2592aab1a0,REWA,MADHYA PRADESH,TO
5f06a989972fa162b1d67921,MATHURA,UTTAR PRADESH,TO
5f06a9cc972fa162b1d67922,HATHRAS,UTTAR PRADESH,TO
5f06aae2972fa162b1d67923,SHIMLA,HIMACHAL PRADESH,TO
5f06c3cf972fa162b1dc5ca2,PANIPAT,HARYANA,TO
5f07fcf8c797984c606431ae,SIRMAUR,HIMACHAL PRADESH,TO
5f0c08418349317cee9e42fc,HALOL,GUJARAT,FROM
5f0eb71d94d98671c3f2e498,UDHAM SINGH NAGAR,UTTRAKHAND,TO
5f11687296347c07fca4a078,MORADABAD,UTTAR PRADESH,TO
5f154846652b9e09db512387,JUNAGADH,GUJARAT,FROM
5f1699f19de1163f399195c5,PAURI GARHWAL,UTTRAKHAND,TO
5f1980bb67cd620d803a7e76,ROHTAK,HARYANA,TO
5f1a750267cd620d805272f1,RAJGARH,MADHYA PRADESH,TO
5f1c148467cd620d809aaf22,GORAKHPUR,UTTAR PRADESH,TO
5f1e718a67cd620d80c1ba24,RAJNANDGAON,CHATTISGARH,TO
5f251c59e7878c6349d94256,RAIGAD,MAHARASHTRA,TO
5f256710b95ea166baccb77c,RATNAGIRI,MAHARASHTRA,TO
5f2cfd2eaa6c481a22d21448,REWA,MADHYA PRADESH,FROM
5fa5385568a0ac23b20ff082,BHAGALPUR,BIHAR,TO
5fa5389d68a0ac23b20ff087,BEGUSARAI,BIHAR,TO
5fa64f947887f043fd77a5f5,ALWAR,RAJASTHAN,FROM
5fbb50de85b83d228d13fd79,PONDICHERRY,TAMIL NADU,FROM
5fbbd7b26d4fb05f9b8fb301,ASANSOL,WEST BENGAL,FROM
5fd08c8e5c67d246be4c1c36,KARNAL,HARYANA,TO
5fd0b2498b768d4c8e72f4fa,CUTTACK,ODISHA,FROM
5fd0b25d8b768d4c8e72f4fb,BALASORE,ODISHA,FROM
5fd1c22056e0fb73e9e91dbb,CUTTACK,ODISHA,TO
5fd89e468539997d9d744ba1,KRISHNA,ANDHRA PRADESH,TO
5fdc82ec4ac402739b693ec2,PUDUCHERRY,TAMIL NADU,TO
5fdc86b94ac402739b6abeb4,SALEM,TAMIL NADU,TO
5fddd48f974341191cc3f552,MYSURU,KARNATAKA,TO
5fddea1139238120772906fc,BHOPAL,MADHYA PRADESH,FROM
5fe187a45ea5d60db890e2fb,BALASORE,ODISHA,TO
5fe19e24a7c12f128073e320,HARDA,MADHYA PRADESH,TO
5fe1e973f05a071c7cd7a76e,KHORDHA,ODISHA,TO
5fe31d8639ba08258d677487,AMBALA,HARYANA,TO
5fe31d9639ba08258d677488,BHIWANI,HARYANA,TO
5fe31da939ba08258d677489,CHARKHI DADRI,HARYANA,TO
5fe31dc139ba08258d67748a,FATEHABAD,HARYANA,TO
5fe31dd739ba08258d67748b,JIND,HARYANA,TO
5fe31e0039ba08258d679b83,KURUKSHETRA,HARYANA,TO
5fe31e0939ba08258d679b84,NUH,HARYANA,TO
5fe31e3939ba08258d679b85,MAHENDRAGARH,HARYANA,TO
5fe31e5b39ba08258d679b88,PALWAL,HARYANA,TO
5fe31e6639ba08258d679b89,PANCHKULA,HARYANA,TO
5fe31e7d39ba08258d679b8a,SIRSA,HARYANA,TO
5c08cb6f54851e2170a044f4,BHIWANDI,MAHARASHTRA,FROM
5c431be8a193d23d49b1c02c,MURTIZAPUR,MAHARASHTRA,TO
5c49aad6921788774705abf2,MUMBAI,MAHARASHTRA,TO
5c52b2596b88505056361048,NASHIK,MAHARASHTRA,FROM
5c77a895222ac21701102cff,DAMAN,DNHDD,FROM
5c77a8a7222ac21701102d00,DAMAN,DNHDD,TO
5c77ba3e222ac21701102d01,AHMEDABAD,GUJARAT,TO
5c77ba60222ac21701102d03,ANAND,GUJARAT,TO
5c77ba6d222ac21701102d04,BANASKANTHA,GUJARAT,TO
5c77ba79222ac21701102d05,VADODARA,GUJARAT,TO
5c77ba92222ac21701102d06,BHARUCH,GUJARAT,TO
5c77ba9d222ac21701102d07,BHAVNAGAR,GUJARAT,TO
5c77baa8222ac21701102d08,DADRA,DNHDD,TO
5c77bab3222ac21701102d09,DAHOD,GUJARAT,TO
5c77baca222ac21701102d0b,GANDHINAGAR,GUJARAT,TO
5c77bad6222ac21701102d0c,GIR SOMANTH,GUJARAT,TO
5c77baed222ac21701102d0e,JAMNAGAR,GUJARAT,TO
5c77baf9222ac21701102d0f,JODHPUR,RAJASTHAN,TO
5c77bb04222ac21701102d10,JUNAGADH,GUJARAT,TO
5c77bb11222ac21701102d11,KHEDA,GUJARAT,TO
5d5aaebeef64ab7b7e8fce5d,PUNE,MAHARASHTRA,TO
5d5aaed8ef64ab7b7e8fce5f,PANDHARPUR,MAHARASHTRA,TO
5d5aaf10ef64ab7b7e8fce63,SHRIRAMPUR,MAHARASHTRA,TO
5d63941dcdd5451df66a21ea,RAISEN,MADHYA PRADESH,TO
5d6638b216cc984b10c419d3,JAIPUR,RAJASTHAN,TO
5d70dc57b9b8bc1a946a63a9,HAZIRA,GUJARAT,FROM
5d7c7aa97641446aa5c3245f,PALGHAR,MAHARASHTRA,TO
5d8229cec587ae0fb7704470,AHMEDNAGAR,MAHARASHTRA,FROM
5e19634e6b0fb9203c300229,TUTICORIN,TAMIL NADU,FROM
5e270394e027490d98fd07f0,SELF,MAHARASHTRA,FROM
5e3150419143ce055e254c1d,AJMER,RAJASTHAN,TO
